InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName,month,day_of_week,day_of_month
15_WANBORNE_4174,15,4174,Kraken Black Spiced Rum,1.75L,1,29.99,29.99,2016-02-01,1750,1,1.84,7245,PROXIMO SPIRITS INC.       ,2,0,1
12_LEESIDE_7878,12,7878,Allens Coffee Brandy,1.75L,1,13.99,13.99,2016-02-01,1750,1,1.84,9552,M S WALKER INC             ,2,0,1
18_FURNESS_3147,18,3147,Stolichnaya Chocolat Kokonut,50mL,1,0.99,0.99,2016-02-01,50,1,0.05,8664,"STOLI GROUP,(USA) LLC      ",2,0,1
15_WANBORNE_2398,15,2398,Tullamore Dew,750mL,1,21.99,21.99,2016-02-01,750,1,0.79,3664,WILLIAM GRANT & SONS INC   ,2,0,1
12_LEESIDE_3684,12,3684,Fleischmanns Royal Vodka,1.75L,2,20.98,10.49,2016-02-01,1750,1,3.67,660,SAZERAC NORTH AMERICA INC. ,2,0,1
1_HARDERSFIELD_1220,1,1220,Woodford Reserve Bourbon,750mL,2,59.98,29.99,2016-02-01,750,1,1.57,1128,BROWN-FORMAN CORP          ,2,0,1
1_HARDERSFIELD_3878,1,3878,Smirnoff 80 Proof,750mL,2,25.98,12.99,2016-02-01,750,1,1.57,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
10_HORNSEY_6725,10,6725,Franzia Crisp White Tap,5L,2,25.98,12.99,2016-02-01,5000,2,1.5,9815,WINE GROUP INC             ,2,0,1
15_WANBORNE_821,15,821,Grand Marnier,Liter,2,77.98,38.99,2016-02-01,1000,1,2.1,8112,MOET HENNESSY USA INC      ,2,0,1
15_WANBORNE_25789,15,25789,Ch Pitot Brdx,750mL,1,9.99,9.99,2016-02-01,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP ,2,0,1
10_HORNSEY_40097,10,40097,Black Box Chard,3L,1,18.99,18.99,2016-02-01,3000,2,0.45,1392,CONSTELLATION BRANDS INC   ,2,0,1
13_TARMSWORTH_7878,13,7878,Allens Coffee Brandy,1.75L,4,55.96,13.99,2016-02-01,1750,1,7.35,9552,M S WALKER INC             ,2,0,1
10_HORNSEY_3085,10,3085,Absolut Mini Bar 5/50mls,50mL 5 Pk,1,5.99,5.99,2016-02-01,50,1,0.05,17035,PERNOD RICARD USA          ,2,0,1
15_WANBORNE_4413,15,4413,Casamigos Blanco,50mL,2,3.98,1.99,2016-02-01,50,1,0.1,6213,MHW LTD                    ,2,0,1
10_HORNSEY_5877,10,5877,Ryans Irish Cream,50mL,1,0.99,0.99,2016-02-01,50,1,0.05,8004,SAZERAC CO INC             ,2,0,1
16_LUNDY_4264,16,4264,Capt Morgan Spiced Rum Trav,750mL,4,59.96,14.99,2016-02-01,750,1,3.15,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
1_HARDERSFIELD_8200,1,8200,Chambord Liqueur de France,50mL,1,2.99,2.99,2016-02-01,50,1,0.05,1128,BROWN-FORMAN CORP          ,2,0,1
1_HARDERSFIELD_1273,1,1273,Jim Beam Choice,1.75L,1,28.99,28.99,2016-02-01,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
15_WANBORNE_4195,15,4195,Calico Jack Spiced Rum No 94,750mL,1,10.99,10.99,2016-02-01,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
15_WANBORNE_3243,15,3243,Burnetts Vodka,1.75L,2,20.98,10.49,2016-02-01,1750,1,3.67,3924,HEAVEN HILL DISTILLERIES   ,2,0,1
15_WANBORNE_24665,15,24665,Nardi Casale 08 Bosco Brunel,750mL,2,55.98,27.99,2016-02-01,750,2,0.22,4692,KOBRAND CORPORATION        ,2,0,1
1_HARDERSFIELD_3858,1,3858,Grey Goose Vodka,750mL,1,23.99,23.99,2016-02-01,750,1,0.79,480,BACARDI USA INC            ,2,0,1
11_CARDEND_8654,11,8654,M & R Sweet Vermouth,375mL,1,5.29,5.29,2016-02-01,375,2,0.06,480,BACARDI USA INC            ,2,0,1
11_CARDEND_3489,11,3489,Tanqueray,1.75L,2,59.98,29.99,2016-02-01,1750,1,3.67,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
1_HARDERSFIELD_676,1,676,Pinnacle Whipped Vodka,750mL,1,10.99,10.99,2016-02-01,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
19_WINTERVALE_3489,19,3489,Tanqueray,1.75L,1,29.99,29.99,2016-02-01,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
16_LUNDY_3818,16,3818,Cabo Wabo Blanco Tequila,750mL,1,34.99,34.99,2016-02-01,750,1,0.79,11567,CAMPARI AMERICA            ,2,0,1
15_WANBORNE_7261,15,7261,Gallo X Dry Vermouth,750mL,1,5.49,5.49,2016-02-01,750,2,0.11,3252,E & J GALLO WINERY         ,2,0,1
11_CARDEND_5815,11,5815,Godiva Dark Chocolate,750mL,1,21.99,21.99,2016-02-01,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
